seed,tau,method,feasible,n_considered,tune_ndcg,tune_parity,ndcg@k,recall@k,category_coverage,exposure_parity,intra_list_sim,catalogue_coverage,gini,iif,aif,ibo,seconds,kwh,co2_kg,energy_measured,chosen_mmr_lam,chosen_lam,chosen_mu
0,1.0,qubo_tabu,True,9,0.8346657245844146,0.205,0.8548452644302837,0.1,1.0,0.2,0.03199932294074741,0.02689030883919063,0.9792842563010294,0.0002537174459023419,1.2486264506328307e-05,0.4,11.042582300000504,,,False,,0.0,1.0
0,1.0,qubo_feasible,True,9,0.7525377422006015,0.205,0.7665882738437753,0.1,1.0,0.2,0.025550827440190826,0.028665246716364928,0.9764323748668796,0.0002528995545285399,1.1108199157383323e-05,0.4,26.16810329999862,,,False,,0.0,1.0
1,0.2,greedy_topk,False,1,1.0,1.15,1.0,0.075,0.4625,1.22,0.03865355827522359,0.026712815051473198,0.979241214057508,0.00024532908949481615,1.2544826670990863e-05,0.6,0.0005006999999750406,,,False,,,
1,0.2,mmr,False,3,0.8709222359321143,1.035,0.8821446704413045,0.025,0.56875,1.1025,0.007827696793723594,0.03141640042598509,0.9719093894213703,0.00025033299435814587,8.82009429439168e-06,0.2,0.1339756999987003,,,False,0.7,,
1,0.2,quota_mmr,False,3,0.8462387704708391,0.2625,0.8418957217257208,0.05,1.0,0.255,0.019128925580342702,0.029020234291799788,0.9759207490237841,0.0002467831186037973,1.098585480813157e-05,0.4,0.08133660000021337,,,False,0.3,,
1,0.2,qubo_tabu,True,9,0.8566278387763477,0.2,0.8468547183841745,0.05,1.0,0.2,0.030870096538639608,0.026269080582179624,0.9802467163649272,0.0002467831186037973,1.409695583851366e-05,0.4,10.821036900000763,,,False,,0.0,1.0
1,0.2,qubo_feasible,True,9,0.7748903116150754,0.2,0.7536696182691317,0.075,1.0,0.2,0.020681560665258353,0.02919772807951722,0.975714856230032,0.0002456198953166124,1.0761864174752005e-05,0.6,24.596050200001628,,,False,,0.0,1.0
1,0.22,greedy_topk,False,1,1.0,1.15,1.0,0.075,0.4625,1.22,0.03865355827522359,0.026712815051473198,0.979241214057508,0.00024532908949481615,1.2544826670990863e-05,0.6,0.0005006999999750406,,,False,,,
1,0.22,mmr,False,3,0.8709222359321143,1.035,0.8821446704413045,0.025,0.56875,1.1025,0.007827696793723594,0.03141640042598509,0.9719093894213703,0.00025033299435814587,8.82009429439168e-06,0.2,0.1339756999987003,,,False,0.7,,
1,0.22,quota_mmr,False,3,0.8462387704708391,0.2625,0.8418957217257208,0.05,1.0,0.255,0.019128925580342702,0.029020234291799788,0.9759207490237841,0.0002467831186037973,1.098585480813157e-05,0.4,0.08133660000021337,,,False,0.3,,
1,0.22,qubo_tabu,True,9,0.8566278387763477,0.2,0.8468547183841745,0.05,1.0,0.2,0.030870096538639608,0.026269080582179624,0.9802467163649272,0.0002467831186037973,1.409695583851366e-05,0.4,10.821036900000763,,,False,,0.0,1.0
1,0.22,qubo_feasible,True,9,0.7748903116150754,0.2,0.7536696182691317,0.075,1.0,0.2,0.020681560665258353,0.02919772807951722,0.975714856230032,0.0002456198953166124,1.0761864174752005e-05,0.6,24.596050200001628,,,False,,0.0,1.0
1,0.25,greedy_topk,False,1,1.0,1.15,1.0,0.075,0.4625,1.22,0.03865355827522359,0.026712815051473198,0.979241214057508,0.00024532908949481615,1.2544826670990863e-05,0.6,0.0005006999999750406,,,False,,,
1,0.25,mmr,False,3,0.8709222359321143,1.035,0.8821446704413045,0.025,0.56875,1.1025,0.007827696793723594,0.03141640042598509,0.9719093894213703,0.00025033299435814587,8.82009429439168e-06,0.2,0.1339756999987003,,,False,0.7,,
1,0.25,quota_mmr,False,3,0.8462387704708391,0.2625,0.8418957217257208,0.05,1.0,0.255,0.019128925580342702,0.029020234291799788,0.9759207490237841,0.0002467831186037973,1.098585480813157e-05,0.4,0.08133660000021337,,,False,0.3,,
1,0.25,qubo_tabu,True,9,0.8566278387763477,0.2,0.8468547183841745,0.05,1.0,0.2,0.030870096538639608,0.026269080582179624,0.9802467163649272,0.0002467831186037973,1.409695583851366e-05,0.4,10.821036900000763,,,False,,0.0,1.0
1,0.25,qubo_feasible,True,9,0.7748903116150754,0.2,0.7536696182691317,0.075,1.0,0.2,0.020681560665258353,0.02919772807951722,0.975714856230032,0.0002456198953166124,1.0761864174752005e-05,0.6,24.596050200001628,,,False,,0.0,1.0
1,0.3,greedy_topk,False,1,1.0,1.15,1.0,0.075,0.4625,1.22,0.03865355827522359,0.026712815051473198,0.979241214057508,0.00024532908949481615,1.2544826670990863e-05,0.6,0.0005006999999750406,,,False,,,
1,0.3,mmr,False,3,0.8709222359321143,1.035,0.8821446704413045,0.025,0.56875,1.1025,0.007827696793723594,0.03141640042598509,0.9719093894213703,0.00025033299435814587,8.82009429439168e-06,0.2,0.1339756999987003,,,False,0.7,,
1,0.3,quota_mmr,True,3,0.8462387704708391,0.2625,0.8418957217257208,0.05,1.0,0.255,0.019128925580342702,0.029020234291799788,0.9759207490237841,0.0002467831186037973,1.098585480813157e-05,0.4,0.08133660000021337,,,False,0.3,,
1,0.3,qubo_tabu,True,9,0.8566278387763477,0.2,0.8468547183841745,0.05,1.0,0.2,0.030870096538639608,0.026269080582179624,0.9802467163649272,0.0002467831186037973,1.409695583851366e-05,0.4,10.821036900000763,,,False,,0.0,1.0
1,0.3,qubo_feasible,True,9,0.7748903116150754,0.2,0.7536696182691317,0.075,1.0,0.2,0.020681560665258353,0.02919772807951722,0.975714856230032,0.0002456198953166124,1.0761864174752005e-05,0.6,24.596050200001628,,,False,,0.0,1.0
1,0.4,greedy_topk,False,1,1.0,1.15,1.0,0.075,0.4625,1.22,0.03865355827522359,0.026712815051473198,0.979241214057508,0.00024532908949481615,1.2544826670990863e-05,0.6,0.0005006999999750406,,,False,,,
1,0.4,mmr,False,3,0.8709222359321143,1.035,0.8821446704413045,0.025,0.56875,1.1025,0.007827696793723594,0.03141640042598509,0.9719093894213703,0.00025033299435814587,8.82009429439168e-06,0.2,0.1339756999987003,,,False,0.7,,
1,0.4,quota_mmr,True,3,0.8462387704708391,0.2625,0.8418957217257208,0.05,1.0,0.255,0.019128925580342702,0.029020234291799788,0.9759207490237841,0.0002467831186037973,1.098585480813157e-05,0.4,0.08133660000021337,,,False,0.3,,
