lam,mu,method,ndcg@k,recall@k,category_coverage,exposure_parity,intra_list_sim,catalogue_coverage,gini,iif,aif,ibo,seconds,kwh,co2_kg,energy_measured
4.0,1.0,qubo_feasible,0.6429205439814856,0.275,1.0,0.19916666666666666,0.0013350830036516804,0.2153846153846154,0.8355750915750916,0.0019016499490311998,9.162820730842911e-05,0.4444444444444444,25.339672199999768,,,False
4.0,4.0,greedy_topk,1.0,0.325,0.6354166666666666,0.9291666666666668,0.0483253892932963,0.1304029304029304,0.9284578754578755,0.0018746433556246064,0.00024643788131827716,0.6666666666666666,0.0004912000003969297,,,False
4.0,4.0,mmr,0.935533766286089,0.325,0.7375,0.8116666666666668,0.01711379052549803,0.15677655677655677,0.9013919413919413,0.0018746433556246066,0.00016461058723516502,0.6666666666666666,0.13194629999998142,,,False
4.0,4.0,quota_mmr,0.868375820965225,0.325,1.0,0.25250000000000006,0.008897722530970847,0.17362637362637362,0.885003663003663,0.001871642623023874,0.00014827194245430807,0.6666666666666666,0.10815750000074331,,,False
4.0,4.0,qubo_sa,0.494827374818165,0.275,1.0,0.20666666666666664,0.001787000474402302,0.22197802197802197,0.8258901098901099,0.0019232763226575736,8.108326232003098e-05,0.4444444444444444,72.05175859999872,,,False
4.0,4.0,qubo_tabu,0.6939322546206246,0.275,1.0,0.19916666666666666,0.0012155691134434188,0.19853479853479852,0.8574102564102564,0.0019016499490311998,0.00010555075826714163,0.4444444444444444,11.499925399999483,,,False
4.0,4.0,qubo_feasible,0.6217151335857759,0.275,1.0,0.19916666666666666,0.001366520347739538,0.21611721611721613,0.8344212454212454,0.0019016499490311998,8.724053307495877e-05,0.4444444444444444,26.128662600000098,,,False
16.0,0.0,greedy_topk,1.0,0.325,0.6354166666666666,0.9291666666666668,0.0483253892932963,0.1304029304029304,0.9284578754578755,0.0018746433556246064,0.00024643788131827716,0.6666666666666666,0.0004923999986203853,,,False
16.0,0.0,mmr,0.935533766286089,0.325,0.7375,0.8116666666666668,0.01711379052549803,0.15677655677655677,0.9013919413919413,0.0018746433556246066,0.00016461058723516502,0.6666666666666666,0.1323222999999416,,,False
16.0,0.0,quota_mmr,0.868375820965225,0.325,1.0,0.25250000000000006,0.008897722530970847,0.17362637362637362,0.885003663003663,0.001871642623023874,0.00014827194245430807,0.6666666666666666,0.10937179999928048,,,False
16.0,0.0,qubo_sa,0.3926553183123431,0.175,0.9354166666666666,0.45500000000000007,0.0009539938336655876,0.21978021978021978,0.8301098901098901,0.0020481700955513465,8.792737580587588e-05,0.1111111111111111,71.8905734,,,False
16.0,0.0,qubo_tabu,0.6228581840700679,0.275,0.9229166666666666,0.48083333333333333,8.563966595418549e-05,0.19194139194139195,0.8657179487179487,0.0019016499490311998,0.00011280739959073636,0.4444444444444444,11.213749999998981,,,False
16.0,0.0,qubo_feasible,0.5919388434173284,0.275,0.9354166666666666,0.47750000000000004,6.0159370067235175e-05,0.20586080586080585,0.8477289377289378,0.0019016499490311998,9.79832024530164e-05,0.4444444444444444,23.6845603999991,,,False
16.0,1.0,greedy_topk,1.0,0.325,0.6354166666666666,0.9291666666666668,0.0483253892932963,0.1304029304029304,0.9284578754578755,0.0018746433556246064,0.00024643788131827716,0.6666666666666666,0.0005046999995101942,,,False
16.0,1.0,mmr,0.935533766286089,0.325,0.7375,0.8116666666666668,0.01711379052549803,0.15677655677655677,0.9013919413919413,0.0018746433556246066,0.00016461058723516502,0.6666666666666666,0.1321600999999646,,,False
16.0,1.0,quota_mmr,0.868375820965225,0.325,1.0,0.25250000000000006,0.008897722530970847,0.17362637362637362,0.885003663003663,0.001871642623023874,0.00014827194245430807,0.6666666666666666,0.10721179999927699,,,False
16.0,1.0,qubo_sa,0.20899922897527534,0.0,1.0,0.22916666666666669,0.0013555210459282496,0.21025641025641026,0.8409084249084249,0.002304580351961603,0.0001418551140260144,0.0,71.94664910000029,,,False
16.0,1.0,qubo_tabu,0.6085786414490147,0.275,1.0,0.19916666666666666,9.444005657274734e-05,0.18681318681318682,0.8699743589743589,0.0019016499490311998,0.0001128050592371031,0.4444444444444444,11.48953259999871,,,False
16.0,1.0,qubo_feasible,0.5448013231467052,0.275,1.0,0.19916666666666666,9.427714062838375e-05,0.2139194139194139,0.8373150183150183,0.0019016499490311998,9.241113661281468e-05,0.4444444444444444,24.38092460000007,,,False
16.0,4.0,greedy_topk,1.0,0.325,0.6354166666666666,0.9291666666666668,0.0483253892932963,0.1304029304029304,0.9284578754578755,0.0018746433556246064,0.00024643788131827716,0.6666666666666666,0.0004960999995091697,,,False
16.0,4.0,mmr,0.935533766286089,0.325,0.7375,0.8116666666666668,0.01711379052549803,0.15677655677655677,0.9013919413919413,0.0018746433556246066,0.00016461058723516502,0.6666666666666666,0.13176949999979115,,,False
16.0,4.0,quota_mmr,0.868375820965225,0.325,1.0,0.25250000000000006,0.008897722530970847,0.17362637362637362,0.885003663003663,0.001871642623023874,0.00014827194245430807,0.6666666666666666,0.10819289999926696,,,False
16.0,4.0,qubo_sa,0.34471635623158214,0.175,0.99375,0.22750000000000004,0.0018552332685208516,0.2175824175824176,0.8317326007326007,0.002075197787859039,8.716410406882679e-05,0.2222222222222222,71.78527009999925,,,False
16.0,4.0,qubo_tabu,0.6101524529134671,0.275,1.0,0.19916666666666666,0.00010366136228003634,0.19047619047619047,0.86592673992674,0.0019016499490311998,0.0001092931445169239,0.4444444444444444,11.487789899998461,,,False
16.0,4.0,qubo_feasible,0.5186331469140544,0.3,1.0,0.19916666666666666,0.00019211058706883718,0.22124542124542124,0.8275531135531136,0.0018723459197271708,7.899537906406684e-05,0.5555555555555556,25.52838100000008,,,False
